study,reported,mapped
Anderson 2025,NA,Unknown / Other
Armañanzas 2024,Black or African American (non-Hispanic),Black / African ancestry
Armañanzas 2024,Other,Unknown / Other
Armañanzas 2024,Unknown,Unknown / Other
Armañanzas 2024,White (Hispanic),Hispanic
Armañanzas 2024,White  (non-Hispanic),White
Bailie 2016,NA,Unknown / Other
Blundell 2025,NA,Unknown / Other
Bui 2022,NA,Unknown / Other
Chan 2003,NA,Unknown / Other
Cicerone 1995,NA,Unknown / Other
Fino 2022,NA,Unknown / Other
Garcia 2022,NA,Unknown / Other
Gumus 2022,NA,Unknown / Other
Hanlon 1999,NA,Unknown / Other
Hicks 2022,White ,White
Hicks 2022,Black,Black / African ancestry
Hicks 2022,Asian,Asian
Ingram 2023,White ,White
Ingram 2023,African American,Black / African ancestry
Ingram 2023,Hispanic,Hispanic
Ingram 2023,Other,Unknown / Other
Kinney 2024,White ,White
Kinney 2024,Black,Black / African ancestry
Kinney 2024,American Indian / Alaskan Native,American Indian / Alaskan Native
Kinney 2024,Asian American,Asian
Kinney 2024,Black / African Ancestry,Black / African ancestry
Kinney 2024,Hispanic,Hispanic
Kinney 2024,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander
Kinney 2024,Other / Unknown,Unknown / Other
Lyons 2022,NA,Unknown / Other
Macgregor 2024,NA,Unknown / Other
Maestas 2014,White ,White
Maestas 2014,Black,Black / African ancestry
Maestas 2014,Hispanic,Hispanic
Maietta 2022,NA,Unknown / Other
Pugh 2019,Caucasian Non-Hispanic,White
Pugh 2019,African American,Black / African ancestry
Pugh 2019,Hispanic,Hispanic
Pugh 2019,Asian,Asian
Pugh 2019,Native American / Pacific Islander,American Indian / Alaskan Native
Pugh 2019,Unknown,Unknown / Other
Rabinowitz 2013,African American,Black / African ancestry
Rabinowitz 2013,Caucasian,White
Rabinowitz 2013,NA,Unknown / Other
Rakers 2021,NA,Unknown / Other
Ransom 2016,Caucasian,White
Ransom 2016,NA,Unknown / Other
Rosenblatt 2021,NA,Unknown / Other
Si 2018a,Hispanic,Hispanic
Si 2018a,NA,Unknown / Other
Si 2018b,Hispanic,Hispanic
Si 2018b,NA,Unknown / Other
Simons 2024,White ,White
Simons 2024,Black / African American,Black / African ancestry
Simons 2024,Other / Unknown,Unknown / Other
Snell 2015,New Zealand European,White
Snell 2015,New Zealand Maori,New Zealand Maori
Snell 2015,Other,Unknown / Other
Thaler 2013,African American,Black / African ancestry
Thaler 2013,Caucasian,White
Thaler 2013,Hispanic,Hispanic
Thaler 2013,Other,Unknown / Other
Visscher 2019,NA,Unknown / Other
Yeates 2019,NA,Unknown / Other
